model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
ridge,full,0,0,642080,163760,0.08052323418916374,0.722896130754109,13.916813392552635,1.1260622000554577,0.12370719993487,335.85561599999994,64208333.333333336,,2026-08-08T19:12:26,
random_forest,full,0,0,642080,163760,0.04164166017348515,0.8848133418235655,4.943201349351736,73.55006400006823,0.8428040998987854,2316.0586240000002,,,2026-08-08T19:12:27,
lightgbm,full,0,0,642080,163760,0.05074014201307784,0.8799111183596585,8.23791749355866,2.057452700100839,0.4899248000001535,81.76435200000003,,,2026-08-08T19:13:42,
catboost,full,0,0,642080,163760,0.04606737850880084,0.8898324244877305,6.688758792274455,173.05713099997956,0.22811120003461838,708.366336,,,2026-08-08T19:13:44,
mlp,full,0,0,642080,163760,0.05422269779458871,0.8656105161361584,8.450526409655355,37.75706049997825,0.1643133000470698,336.41676799999993,59328192000.0,,2026-08-08T19:16:38,
ridge,full,0,1,645469,160371,0.07907682466718309,0.739766339391256,13.387293516887876,1.230310900020413,0.14442050002980977,325.34528,64547233.333333336,,2026-08-08T19:17:55,
random_forest,full,0,1,645469,160371,0.03870999682756527,0.8910669773918882,4.311017985786379,70.21886999998242,0.763411600026302,2247.749632,,,2026-08-08T19:17:56,
lightgbm,full,0,1,645469,160371,0.04802505616556481,0.8864516445778879,7.281458512128366,1.7326946000102907,0.34381490002851933,79.51974399999995,,,2026-08-08T19:19:07,
catboost,full,0,1,645469,160371,0.04379283028639126,0.8979447093094517,6.434398739459914,161.42539700004272,0.20291329990141094,700.391424,,,2026-08-08T19:19:10,
mlp,full,0,1,645469,160371,0.04979974771790365,0.8794620226263681,7.864702895872789,36.056079200003296,0.18611340003553778,327.626752,59641335600.0,,2026-08-08T19:21:51,
ridge,full,0,2,643414,162426,0.07761927112438664,0.7495667387015956,13.256354133070234,1.184666599961929,0.11046280001755804,334.74559999999997,64341733.333333336,,2026-08-08T19:23:07,
random_forest,full,0,2,643414,162426,0.03846147124778033,0.9038764318836214,4.776401924902127,84.58969349996187,1.2360899000195786,2263.461888,,,2026-08-08T19:23:08,
lightgbm,full,0,2,643414,162426,0.04698074212444572,0.900982739201779,7.510043214013852,1.8185367999831215,0.4554164999863133,80.95334400000002,,,2026-08-08T19:24:34,
catboost,full,0,2,643414,162426,0.041860486035775475,0.9150434718725515,6.492796317515095,180.21726850001141,0.19489280006382614,653.6847360000002,,,2026-08-08T19:24:37,
mlp,full,0,2,643414,162426,0.04777153372401028,0.8920945434096063,7.195685571074296,37.84822669997811,0.17550090001896024,337.66604799999993,59451453600.0,,2026-08-08T19:27:38,
ridge,full,0,3,651103,154737,0.07606965835425206,0.74229728849681,13.206805302203344,1.2275457000359893,0.11329120001755655,338.58355200000005,65110633.333333336,,2026-08-08T19:29:00,
random_forest,full,0,3,651103,154737,0.03678441154086495,0.9055292158405717,4.424357967326756,83.57421909994446,1.0250383999664336,2264.264704,,,2026-08-08T19:29:02,
lightgbm,full,0,3,651103,154737,0.04631597199459995,0.899752693965307,7.74734454986471,2.1891064000083134,0.4270708999829367,89.75155200000006,,,2026-08-08T19:30:26,
catboost,full,0,3,651103,154737,0.04198738073145883,0.9106740755709246,6.616668315564102,178.1044129000511,0.16322280000895262,677.404672,,,2026-08-08T19:30:29,
mlp,full,0,3,651103,154737,0.04675225316078328,0.8943416436092315,7.521673599059602,43.32836490008049,0.1801776000065729,341.274624,60161917200.0,,2026-08-08T19:33:28,
ridge,full,0,4,641294,164546,0.07859781061470399,0.7229617125824905,13.35758766016742,1.7897753999568522,0.15540829999372363,333.4963200000001,64129733.333333336,,2026-08-08T19:34:54,
random_forest,full,0,4,641294,164546,0.04024914598523173,0.8802901707757597,4.642423929533876,93.90173739998136,1.0172363999299705,2205.601792,,,2026-08-08T19:34:56,
lightgbm,full,0,4,641294,164546,0.048450127233664264,0.8778459762839878,7.663529361767396,3.430366100044921,0.5532572999363765,86.15935999999999,,,2026-08-08T19:36:32,
catboost,full,0,4,641294,164546,0.043578886966210276,0.8899061487788832,6.538734373942108,166.8647330000531,0.5523136999690905,708.0796160000001,,,2026-08-08T19:36:36,
mlp,full,0,4,641294,164546,0.04870936779875838,0.8692538782327793,7.48126739566502,36.368701400002465,0.1734609000850469,336.613376,59255565600.0,,2026-08-08T19:39:23,
ridge,full,1,0,643696,162144,0.0757506598883644,0.747764590923327,12.79193779645415,1.0662062000483274,0.13104389992076904,324.61209600000007,64369933.333333336,,2026-08-08T19:40:42,
