complexity,loss,equation,score,sympy_format,lambda_format
1,0.010257053,1.5590249,0.0,1.55902490000000,PySRFunction(X=>1.55902490000000)
5,0.0073874453,(0.6057529 / calidad_ponderada) + 1.3135992,0.0820458970523323,1.3135992 + 0.6057529/calidad_ponderada,PySRFunction(X=>1.3135992 + 0.6057529/calidad_ponderada)
6,0.007255442,exp((calidad_ponderada * -0.065741695) + 0.6132396),0.01803017032405688,exp(0.6132396 + calidad_ponderada*(-0.065741695)),PySRFunction(X=>exp(0.6132396 + calidad_ponderada*(-0.065741695)))
7,0.00680117,((log10_sup_terreno_m2 - calidad_ponderada) / 9.158289) + 1.6010764,0.06465715177625513,(-calidad_ponderada + log10_sup_terreno_m2)/9.158289 + 1.6010764,PySRFunction(X=>(-calidad_ponderada + log10_sup_terreno_m2)/9.158289 + 1.6010764)
8,0.0063594216,((log10_sup_terreno_m2 - calidad_ponderada) / exp(log10_sup_terreno_m2)) + 1.6037178,0.06715722638496567,(-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2) + 1.6037178,PySRFunction(X=>(-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2) + 1.6037178)
10,0.006346369,((log10_sup_terreno_m2 - calidad_ponderada) / (exp(log10_sup_terreno_m2) + -0.48283762)) + 1.6062893,0.0010272957427480084,(-calidad_ponderada + log10_sup_terreno_m2)/(exp(log10_sup_terreno_m2) - 0.48283762) + 1.6062893,PySRFunction(X=>(-calidad_ponderada + log10_sup_terreno_m2)/(exp(log10_sup_terreno_m2) - 0.48283762) + 1.6062893)
11,0.0061784615,((-0.48653585 - calidad_ponderada) / (exp(log10_sup_terreno_m2) + sqrt(n_pisos))) + 1.8247049,0.026813546077924064,(-calidad_ponderada - 0.48653585)/(sqrt(n_pisos) + exp(log10_sup_terreno_m2)) + 1.8247049,PySRFunction(X=>(-calidad_ponderada - 0.48653585)/(sqrt(n_pisos) + exp(log10_sup_terreno_m2)) + 1.8247049)
13,0.0060085636,exp((log10_sup_terreno_m2 - calidad_ponderada) / exp(log10_sup_terreno_m2 - (2.520173 / edad_anios))) + 0.5976537,0.013941786969504643,exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 - 2.520173/edad_anios)) + 0.5976537,PySRFunction(X=>exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 - 2.520173/edad_anios)) + 0.5976537)
14,0.00597037,((log10_sup_terreno_m2 - calidad_ponderada) / exp(log10_sup_terreno_m2 + ((-1.22432 / edad_anios) / 0.5115257))) + 1.6037178,0.0063768162843159506,(-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 - 1.22432/(0.5115257*edad_anios)) + 1.6037178,PySRFunction(X=>(-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 - 1.22432/(0.5115257*edad_anios)) + 1.6037178)
15,0.0059402585,exp((log10_sup_terreno_m2 - calidad_ponderada) / exp(log10_sup_terreno_m2 - (2.4984705 / (edad_anios * n_lineas_construccion)))) + 0.5977215,0.005056251087288667,exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 - 2.4984705/(edad_anios*n_lineas_construccion))) + 0.5977215,PySRFunction(X=>exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 - 2.4984705/(edad_anios*n_lineas_construccion))) + 0.5977215)
17,0.0058521773,exp((log10_sup_terreno_m2 - calidad_ponderada) / exp(log10_sup_terreno_m2 + (((2.4984705 / edad_anios) / edad_anios) * -0.9776722))) + 0.5977215,0.00746943545650061,exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 + 2.4984705*(-0.9776722)/(edad_anios*edad_anios))) + 0.5977215,PySRFunction(X=>exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 + 2.4984705*(-0.9776722)/(edad_anios*edad_anios))) + 0.5977215)
19,0.0058417944,exp((log10_sup_terreno_m2 - calidad_ponderada) / exp(log10_sup_terreno_m2 + ((((2.4984705 / edad_anios) / edad_anios) / edad_anios) * -0.9776722))) + 0.5977215,0.0008878850569150477,exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 + 2.4984705*(-0.9776722)/(edad_anios*edad_anios*edad_anios))) + 0.5977215,PySRFunction(X=>exp((-calidad_ponderada + log10_sup_terreno_m2)/exp(log10_sup_terreno_m2 + 2.4984705*(-0.9776722)/(edad_anios*edad_anios*edad_anios))) + 0.5977215)
21,0.005841786,exp((log10_sup_terreno_m2 - calidad_ponderada) / exp(((edad_anios * log10_sup_terreno_m2) + ((2.520173 / (edad_anios * -1.0307999)) / edad_anios)) / edad_anios)) + 0.5976537,7.189576921385368e-07,exp((-calidad_ponderada + log10_sup_terreno_m2)/exp((edad_anios*log10_sup_terreno_m2 + 2.520173/(edad_anios*((edad_anios*(-1.0307999)))))/edad_anios)) + 0.5976537,PySRFunction(X=>exp((-calidad_ponderada + log10_sup_terreno_m2)/exp((edad_anios*log10_sup_terreno_m2 + 2.520173/(edad_anios*((edad_anios*(-1.0307999)))))/edad_anios)) + 0.5976537)
25,0.0058245403,exp((log10_sup_terreno_m2 - calidad_ponderada) / exp(((((edad_anios * (log10_sup_terreno_m2 * edad_anios)) + (2.5617332 / (n_lineas_construccion / -1.3466057))) + edad_anios) / edad_anios) / edad_anios)) + 0.5966988,0.0007391235303374121,exp((-calidad_ponderada + log10_sup_terreno_m2)/exp((edad_anios*edad_anios*log10_sup_terreno_m2 + edad_anios + 2.5617332/((n_lineas_construccion/(-1.3466057))))/(edad_anios*edad_anios))) + 0.5966988,PySRFunction(X=>exp((-calidad_ponderada + log10_sup_terreno_m2)/exp((edad_anios*edad_anios*log10_sup_terreno_m2 + edad_anios + 2.5617332/((n_lineas_construccion/(-1.3466057))))/(edad_anios*edad_anios))) + 0.5966988)
