period,rsi_period,pivot_window,max_pivot_gap,total_return,cagr,sharpe,max_drawdown,n_bars,n_trades,exposure,hit_rate,total_cost_drag
development,7,3,30,-0.4622276091260864,-0.09267816373118298,0.0698046699519635,-0.811105703458783,2328,12,0.5442439862542955,0.5,0.036000000000000004
development,7,3,60,-0.4622276091260864,-0.09267816373118298,0.0698046699519635,-0.811105703458783,2328,12,0.5442439862542955,0.5,0.036000000000000004
development,7,5,30,0.20552109632265614,0.029738975266983658,0.28918479420241205,-0.7210838037342597,2328,8,0.4849656357388316,0.625,0.024
development,7,5,60,0.20552109632265614,0.029738975266983658,0.28918479420241205,-0.7210838037342597,2328,8,0.4849656357388316,0.625,0.024
development,7,8,30,-0.20161399347597453,-0.03468676150041494,0.17769341501728178,-0.7855566455420738,2328,5,0.5085910652920962,0.6,0.015000000000000001
development,7,8,60,-0.43909444488774196,-0.0866669139325501,0.04922863906157491,-0.7855566455420738,2328,6,0.45146048109965636,0.5,0.018000000000000002
development,14,3,30,-0.6650923457751234,-0.157607570510098,-0.12836563762070857,-0.8854278008416515,2328,10,0.4690721649484536,0.5,0.030000000000000002
development,14,3,60,-0.6650923457751234,-0.157607570510098,-0.12836563762070857,-0.8854278008416515,2328,10,0.4690721649484536,0.5,0.030000000000000002
development,14,5,30,0.1729568852918444,0.025327299194767505,0.25792564411568697,-0.7804819523888413,2328,8,0.39390034364261167,0.75,0.024
development,14,5,60,0.1296221295164608,0.01929344952923162,0.2423461926319214,-0.7804819523888413,2328,8,0.3904639175257732,0.75,0.024
development,14,8,30,11.701366946906541,0.4895988833475913,0.9796916973365071,-0.8981524892976043,2328,4,0.6099656357388317,0.75,0.012
development,14,8,60,8.957943700993399,0.4338376143771192,0.9192345740075734,-0.8981524892976043,2328,5,0.5682989690721649,0.6,0.015000000000000001
development,21,3,30,-0.8159928395426441,-0.23310539118444273,-0.21890990198817545,-0.9122750409406865,2328,7,0.5485395189003437,0.42857142857142855,0.020999999999999998
development,21,3,60,-0.8159928395426441,-0.23310539118444273,-0.21890990198817545,-0.9122750409406865,2328,7,0.5485395189003437,0.42857142857142855,0.020999999999999998
development,21,5,30,-0.13976704728479883,-0.02332818629781208,0.17828174907380415,-0.7502754454638235,2328,6,0.43986254295532645,0.6666666666666666,0.018000000000000002
development,21,5,60,-0.1715482537240932,-0.02907570799266368,0.16466675669136577,-0.7502754454638235,2328,6,0.436426116838488,0.6666666666666666,0.018000000000000002
development,21,8,30,0.5694291533633162,0.073222440470049,0.38707434298878285,-0.705937280989585,2328,4,0.34235395189003437,0.75,0.012
development,21,8,60,0.46469914049244054,0.061664239066283155,0.3585189038993099,-0.705937280989585,2328,4,0.2972508591065292,0.75,0.012
holdout,7,3,30,-0.35047279273454945,-0.1516028554666562,-0.5417829354837077,-0.45915067790667663,958,5,0.33194154488517746,0.4,0.015000000000000001
holdout,7,3,60,-0.35047279273454945,-0.1516028554666562,-0.5417829354837077,-0.45915067790667663,958,5,0.33194154488517746,0.4,0.015000000000000001
holdout,7,5,30,0.531978906018099,0.17647227788748543,0.6673321071087001,-0.32022515264497686,958,6,0.48434237995824636,0.6666666666666666,0.0165
holdout,7,5,60,0.531978906018099,0.17647227788748543,0.6673321071087001,-0.32022515264497686,958,6,0.48434237995824636,0.6666666666666666,0.0165
holdout,7,8,30,0.18710178356118345,0.06752994786155031,0.36137042485443743,-0.4953425573570812,958,4,0.6962421711899791,0.5,0.0105
holdout,7,8,60,0.24076823604951558,0.08566625630258007,0.4047617426993063,-0.4953425573570811,958,5,0.6774530271398748,0.6,0.013500000000000002
holdout,14,3,30,-0.47749907493653776,-0.2191087029001536,-0.7032137745864068,-0.553841842319156,958,4,0.4196242171189979,0.25,0.0105
holdout,14,3,60,-0.47749907493653776,-0.2191087029001536,-0.7032137745864068,-0.553841842319156,958,4,0.4196242171189979,0.25,0.0105
holdout,14,5,30,0.020284733761992912,0.00768052962291188,0.2022237433719896,-0.48825927859259033,958,4,0.6096033402922756,0.5,0.010499999999999999
holdout,14,5,60,0.020284733761992912,0.00768052962291188,0.2022237433719896,-0.48825927859259033,958,4,0.6096033402922756,0.5,0.010499999999999999
holdout,14,8,30,0.014311535233113348,0.005428757283292729,0.20951330511929742,-0.5297176591351058,958,2,0.755741127348643,0.5,0.0045000000000000005
holdout,14,8,60,0.10329202464049203,0.03816207951314432,0.2883881560939665,-0.4882592785925902,958,3,0.6962421711899791,0.6666666666666666,0.007500000000000001
holdout,21,3,30,-0.3716718391205388,-0.16226117249389638,-0.49585931520823157,-0.5302621766723222,958,4,0.37891440501043844,0.25,0.0105
holdout,21,3,60,-0.3716718391205388,-0.16226117249389638,-0.49585931520823157,-0.5302621766723222,958,4,0.37891440501043844,0.25,0.0105
holdout,21,5,30,-0.3361152164018655,-0.1445060297622136,-0.31109463688952105,-0.5297176591351054,958,2,0.6210855949895616,0.0,0.0045000000000000005
holdout,21,5,60,-0.3255225577392714,-0.13933085549967128,-0.3172946646288806,-0.5169749011955922,958,3,0.5615866388308977,0.3333333333333333,0.007500000000000001
holdout,21,8,30,-0.40616268539149214,-0.1800887625650196,-0.4330836689325668,-0.5297176591351063,958,1,0.5960334029227558,0.0,0.0015
holdout,21,8,60,-0.35406830112513765,-0.15339525639621399,-0.36104041840855233,-0.4882592785925902,958,2,0.5365344467640919,0.5,0.0045000000000000005
