period,rsi_period,pivot_window,max_pivot_gap,total_return,cagr,sharpe,max_drawdown,n_bars,n_trades,exposure,hit_rate,total_cost_drag
development,7,3,30,-0.1470396391406058,-0.02469507149524175,0.24349486488838656,-0.7864662096584724,55717,302,0.4544393991061974,0.5165562913907285,0.9045000000000001
development,7,3,60,-0.18559523448645365,-0.03176219507545319,0.231923712455425,-0.7864662096584722,55717,302,0.4547086167596963,0.5132450331125827,0.9045000000000001
development,7,5,30,1.8837898393917718,0.18118224076638523,0.5776010899579282,-0.733671471190747,55717,262,0.4471166789310264,0.5381679389312977,0.7845000000000001
development,7,5,60,1.6791636436059494,0.16759270157288397,0.557386663415787,-0.7238016078465426,55717,266,0.44950374212538363,0.5451127819548872,0.7965000000000001
development,7,8,30,0.7545599955474274,0.09241810017362728,0.4368073132040348,-0.7370696904516973,55717,159,0.46379022560439365,0.5471698113207547,0.47550000000000003
development,7,8,60,0.3062463248607379,0.04289797483937208,0.36661343304937494,-0.7817549153293153,55717,182,0.48028429384209487,0.5659340659340659,0.5445
development,14,3,30,-0.16545371835564193,-0.02803597283114878,0.23857807248379762,-0.7460360735265232,55717,241,0.45743668898181883,0.5145228215767634,0.7215
development,14,3,60,-0.20317695874165176,-0.03507888802080916,0.2270635622566541,-0.7460360735265201,55717,241,0.4577059066353178,0.5103734439834025,0.7215
development,14,5,30,0.9445550127897941,0.11022043125737513,0.4706510271496094,-0.7607102675046866,55717,202,0.4551034693181614,0.5297029702970297,0.6045
development,14,5,60,1.0579913144050272,0.12016130861397922,0.4861117325296792,-0.7516613031010366,55717,203,0.45625213130642356,0.5320197044334976,0.6075000000000002
development,14,8,30,-0.3061973779365734,-0.05585516795295631,0.17973717028522276,-0.81970996068058,55717,128,0.4652798966204211,0.5390625,0.3825
development,14,8,60,-0.12028862665570339,-0.0199482821946656,0.2483099193037487,-0.7997722128849644,55717,142,0.4561803399321572,0.5563380281690141,0.42450000000000004
development,21,3,30,-0.5365486363610283,-0.11388898311086926,0.0741821942104424,-0.8026494961463118,55717,213,0.46251592871116537,0.5211267605633803,0.6375000000000001
development,21,3,60,-0.5574976089732295,-0.12030980174831829,0.06310036880780534,-0.8026494961463092,55717,213,0.4627851463646643,0.5164319248826291,0.6375000000000001
development,21,5,30,0.7024116792836055,0.08724819008785412,0.4323148307347177,-0.743744059112381,55717,180,0.44944989859468387,0.5333333333333333,0.5385
development,21,5,60,1.062906230809248,0.12058148622699671,0.486108167003811,-0.7340767715608,55717,182,0.4510472566721108,0.5384615384615384,0.5445
development,21,8,30,-0.03395860897617531,-0.005417112228477516,0.25511904643879574,-0.7895395088965252,55717,114,0.45072419548791215,0.5350877192982456,0.3405
development,21,8,60,0.04183522777951332,0.0064644051516113965,0.2807559439571664,-0.7455821626457486,55717,125,0.4394888454152234,0.544,0.3735
holdout,7,3,30,-0.3413462475366724,-0.14719870707049332,-0.30723748384838134,-0.52397095401093,22972,137,0.4503743687967961,0.5109489051094891,0.41100000000000003
holdout,7,3,60,-0.3413462475366724,-0.14719870707049332,-0.30723748384838134,-0.52397095401093,22972,137,0.4503743687967961,0.5109489051094891,0.41100000000000003
holdout,7,5,30,-0.41749445068760105,-0.18623129680538453,-0.41008031395500416,-0.5620381770169247,22972,115,0.517760752220094,0.5304347826086957,0.345
holdout,7,5,60,-0.42631772278151514,-0.19095391395999262,-0.4224419819019321,-0.5588691745622962,22972,116,0.5186313773289222,0.5344827586206896,0.348
holdout,7,8,30,-0.17212385955072096,-0.06949776288522747,-0.03721230140443709,-0.4354757674313603,22972,74,0.5146700330837541,0.527027027027027,0.22050000000000003
holdout,7,8,60,-0.21600011859578816,-0.08862078923809424,-0.10197458589435993,-0.4383417426855658,22972,88,0.4918596552324569,0.5454545454545454,0.2625
holdout,14,3,30,-0.3115621717364937,-0.1326940212522858,-0.24828452494128736,-0.5109440610763163,22972,115,0.4584711823088978,0.5130434782608696,0.3435
holdout,14,3,60,-0.3115621717364937,-0.1326940212522858,-0.24828452494128736,-0.5109440610763163,22972,115,0.4584711823088978,0.5130434782608696,0.3435
holdout,14,5,30,-0.22343837344869089,-0.0919278237654273,-0.12947446952029829,-0.4475445743077343,22972,85,0.461170120146265,0.5058823529411764,0.255
holdout,14,5,60,-0.19378389523152495,-0.07885757824935524,-0.08453149463877076,-0.4475445743077351,22972,86,0.46325962040745255,0.5116279069767442,0.258
holdout,14,8,30,-0.11082795626365816,-0.04380479558294026,0.037259620036120905,-0.4785693716158711,22972,58,0.5013059376632422,0.5172413793103449,0.17250000000000004
holdout,14,8,60,-0.08657125548187083,-0.033940391979609186,0.06786453115894361,-0.4865961878484856,22972,64,0.5050060943757618,0.53125,0.1905
holdout,21,3,30,-0.2626849730872347,-0.10970968619386756,-0.17731052859992114,-0.5198589543962461,22972,100,0.46695977711997216,0.53,0.2985
holdout,21,3,60,-0.2777185472022963,-0.11667606407669473,-0.20144893278931483,-0.519858954396242,22972,100,0.4645655580706948,0.53,0.2985
holdout,21,5,30,-0.11022671409492923,-0.04355829118216892,0.023637298646537044,-0.3440517665228914,22972,73,0.4532909629113704,0.547945205479452,0.21900000000000003
holdout,21,5,60,-0.1187800296359578,-0.04707482789611295,0.011365864324460484,-0.3440517665228874,22972,73,0.45006965000870625,0.547945205479452,0.21900000000000003
holdout,21,8,30,-0.05791802564434789,-0.022494649278606893,0.0935575045400552,-0.4319489269631974,22972,52,0.4675692146961518,0.5192307692307693,0.15450000000000003
holdout,21,8,60,-0.2825492109009464,-0.1189335572489566,-0.2140306464018904,-0.550547774386777,22972,56,0.4947762493470312,0.48214285714285715,0.16650000000000004
