fast,slow,dev_return,holdout_return,dev_excess,holdout_excess,dev_trades,dev_exposure
2,5,8.305674874488137,-0.2116620475771699,-0.06074196990478131,-0.47121557096949107,512.0,0.531786941580756
2,10,9.391616907081856,0.1632721889405333,0.04886639145414473,-0.21972522273535477,310.0,0.5279209621993127
2,15,10.251338041521313,0.6135588566974253,0.13564139596011815,0.0823084136995047,230.0,0.5274914089347079
2,20,14.215270090432938,0.7259244541714864,0.5357365054399483,0.15767859995069844,190.0,0.5304982817869416
2,25,15.990630542833841,0.6027401412807547,0.7149305546327267,0.07505166773558658,160.0,0.5262027491408935
2,30,19.714050684421167,0.4324012921858402,1.0907498600107841,-0.03920457323764681,146.0,0.5197594501718213
2,35,39.09312227588383,0.6323231837996739,3.04675507764124,0.09489474670860276,129.0,0.5171821305841925
2,40,43.93359453982391,0.5480644940304733,3.535322806976291,0.03837750936954798,105.0,0.5171821305841925
2,45,26.353578911458417,0.48258593784827797,1.760903318776625,-0.005542792625469306,99.0,0.5098797250859106
2,50,29.791800224577,0.41687845210066277,2.107936394953036,-0.04961665108591706,89.0,0.509020618556701
2,55,26.90860441227552,0.3626266994413425,1.816924205556076,-0.08600647852692345,85.0,0.5
2,60,17.94993402518014,0.13986231111141323,0.9126906906796584,-0.2354275986561145,79.0,0.4961340206185567
2,65,15.83580797341321,-0.020539595602931726,0.6993037093442704,-0.3430185504765555,75.0,0.4957044673539519
2,70,13.111769450807174,-0.04948862697977918,0.42435588544588043,-0.36243636104947863,81.0,0.49226804123711343
2,75,11.165435236225997,0.09117815587295675,0.22790478813683146,-0.26808291247359795,81.0,0.49140893470790376
2,80,10.350547532859489,0.08772507926584705,0.145654996548777,-0.2703990931629551,67.0,0.4944158075601375
2,85,11.959812478055456,-0.04139555132965056,0.3080843789109238,-0.35700786128792117,69.0,0.49226804123711343
2,90,12.02144436429972,-0.02174777052768595,0.3143051253743041,-0.3438289441481931,65.0,0.49269759450171824
2,95,9.27575059205562,-0.028556650143635287,0.037171552737579105,-0.3483960584282958,59.0,0.49269759450171824
2,100,10.875902303659373,0.09322975039073222,0.19868110091821078,-0.26670678789105073,53.0,0.4944158075601375
2,105,15.480968771572751,0.11892447607960932,0.6634884058637087,-0.24947183071217705,43.0,0.4952749140893471
2,110,10.92401863550418,0.24179008010224767,0.20353766980477928,-0.16705867519819173,43.0,0.4849656357388316
2,115,13.495400797560979,0.15451602974537937,0.4630772923180042,-0.22559849146011912,33.0,0.48238831615120276
2,120,11.107455616956628,0.1487127259230785,0.22205267921242489,-0.22949110716983445,33.0,0.47852233676975947
2,125,8.820178078805672,0.13466621013784463,-0.008811156429896494,-0.2389129278579485,29.0,0.4742268041237113
2,130,9.66891236378678,0.16610985724533966,0.0768549025435512,-0.21782183243209285,29.0,0.4737972508591065
2,135,8.874888288288632,0.22057809230234549,-0.003289041776402435,-0.18128679756995003,27.0,0.47079037800687284
2,140,7.613259507611415,0.08815697492564678,-0.13063015128572175,-0.27010939545251755,27.0,0.46649484536082475
2,145,7.871208809158768,0.007298408628454434,-0.10459432302999516,-0.3243459708708142,29.0,0.4639175257731959
2,150,6.041302970371833,-0.02481858254093605,-0.2892938506387648,-0.3458887175893879,37.0,0.46134020618556704
2,155,5.924860134965424,-0.07251643478115644,-0.3010468798040504,-0.3778824602289641,35.0,0.45575601374570446
2,160,5.214065123585444,0.044494702593958824,-0.37279019033175587,-0.2993962383276184,37.0,0.4531786941580756
2,165,4.557733131291676,-0.02323631091632017,-0.4390363360960332,-0.3448273953543969,35.0,0.45146048109965636
2,170,5.049038609189374,-0.017241658503157842,-0.3894469595522321,-0.3408064309395944,37.0,0.4488831615120275
2,175,6.242119324540444,0.05118296631022812,-0.2690246734139706,-0.29491002819458656,33.0,0.44716494845360827
2,180,5.830051400518904,0.1475841548746295,-0.3106162948495075,-0.2302481058601048,37.0,0.44630584192439865
2,185,3.765373412918616,0.057627564512089835,-0.5190122903652092,-0.29058725879089464,37.0,0.44372852233676974
2,190,5.124525731703793,0.04050142339748053,-0.3818277500970608,-0.30207476452742854,33.0,0.4420103092783505
2,195,3.4753807396710386,0.12559697138254777,-0.5482823810024073,-0.2449961973773498,29.0,0.44415807560137455
2,200,3.639935174413875,-0.07773887193435192,-0.531673260621067,-0.3813854546486962,29.0,0.44372852233676974
3,5,1.1298309755624314,-0.11731160705623322,-0.785027859502497,-0.40792920543766764,514.0,0.5283505154639175
3,10,3.4112063540142383,-0.10146547795997363,-0.5547597518398334,-0.3973002787181594,284.0,0.5257731958762887
3,15,7.452284689085156,0.8598342311599658,-0.14687796705225176,0.24749972900941564,208.0,0.5335051546391752
3,20,18.45674087694249,0.34612227831307707,0.9638446812978023,-0.09707696026126966,152.0,0.5360824742268041
3,25,12.487438289815175,0.3658808531314395,0.36133970829487505,-0.08382372708674857,138.0,0.5270618556701031
3,30,14.269727685220378,0.5377270486444923,0.5412331227077625,0.031443579397940846,134.0,0.5257731958762887
3,35,21.128473295911018,0.7740192409156694,1.2335130463146862,0.18993858980619938,115.0,0.5154639175257731
3,40,26.759612963657183,0.9220971448197115,1.8018859180145732,0.2892631112595774,97.0,0.5120274914089347
3,45,22.12621870068265,0.7132896885162383,1.3342193783177057,0.14920372274554605,87.0,0.5073024054982818
3,50,28.154838146259475,0.4990990237575572,1.9427114330068274,0.005533501084904469,79.0,0.5051546391752577
3,55,18.054598362659018,0.3593905862434368,0.9232548701473016,-0.08817712915255105,73.0,0.49828178694158076
3,60,11.940932774141478,0.15530170884706385,0.30617877681906047,-0.2250714904779786,67.0,0.4995704467353952
3,65,11.292048644785007,-0.0009440756414049734,0.24068437288600508,-0.32987468774285544,69.0,0.49269759450171824
3,70,14.531839918383556,0.09762887613969995,0.5676891318747759,-0.2637560366424876,65.0,0.4901202749140893
3,75,11.729602097648838,0.07202796377039866,0.2848483480668862,-0.2809280677343007,65.0,0.49140893470790376
3,80,11.724461830967494,0.10902231040440591,0.284329520918678,-0.25611379309218874,59.0,0.4944158075601375
3,85,8.761523636490143,-0.025562129380509502,-0.014731377874195317,-0.34638745799610426,59.0,0.49312714776632305
3,90,9.855627722965462,0.004846494492571907,0.09570081139122477,-0.32599061326357204,55.0,0.4948453608247423
3,95,11.10318835334012,-0.026588128274503298,0.2216219676657183,-0.34707565553585107,49.0,0.49398625429553267
3,100,13.991456081501456,0.010641115560035885,0.5131460852961047,-0.32210382158597983,41.0,0.49398625429553267
3,105,13.199773738726936,0.254196681390392,0.43323850118588014,-0.15873684119515008,35.0,0.49269759450171824
3,110,12.929213472172796,0.28558238099651945,0.40592979908600624,-0.1376846145518137,27.0,0.4845360824742268
3,115,10.257945730066032,0.07132621523661786,0.13630833571566559,-0.28139877156965176,31.0,0.4806701030927835
3,120,6.850935288633072,0.007440473255421187,-0.20757450555007173,-0.3242506798063346,33.0,0.4789518900343643
3,125,6.26149747822244,-0.023939315237865744,-0.2670687608445199,-0.3452989415201395,29.0,0.4733676975945017
3,130,7.299674849758288,0.03924821926444899,-0.16228147286914563,-0.3029153619259264,29.0,0.4733676975945017
3,135,6.984664067601158,0.06939262493220633,-0.19407673873630127,-0.2826957438160784,27.0,0.4695017182130584
3,140,6.064666226606542,0.01433450809750103,-0.28693570613838215,-0.31962644692945497,27.0,0.46606529209621994
3,145,6.050875423300008,0.04874010960894437,-0.28832766566005397,-0.296548595235564,29.0,0.4647766323024055
3,150,5.475841280250487,0.08397439866581302,-0.34636810267541807,-0.2729148942777808,33.0,0.46134020618556704
3,155,7.584241337648104,0.24919012941740593,-0.13355906826641606,-0.1620950287824794,25.0,0.4574742268041237
3,160,5.804901559537792,-0.03344744045322601,-0.3131547663108186,-0.3516765978890901,27.0,0.4540378006872852
3,165,4.990077011850584,-0.0607784667543253,-0.39539818335003807,-0.3700091177088298,31.0,0.4518900343642612
3,170,3.988074014083719,-0.0732002349412072,-0.49653425080627156,-0.3783411250390144,35.0,0.4484536082474227
3,175,6.041704021182393,-0.07025298500247379,-0.28925337101752546,-0.3763642319168785,25.0,0.44673539518900346
3,180,5.057891551659596,0.07337340292865902,-0.3885533975680364,-0.28002560290318423,25.0,0.44673539518900346
3,185,4.043322807295314,0.058901826969060433,-0.4909577747981395,-0.28973253634137497,27.0,0.44372852233676974
3,190,4.216782164179024,-0.036008760954805985,-0.47344984592187533,-0.3533946255380567,29.0,0.4420103092783505
3,195,4.37695851827664,0.01144144677548975,-0.4572826222818127,-0.32156699257312005,27.0,0.44544673539518903
3,200,3.9032663614364047,-0.09173785144590552,-0.5050942176906613,-0.3907753899743728,25.0,0.44458762886597936
4,5,2.4966543843141933,-0.3105539854279161,-0.6470690462291258,-0.5375481847062962,619.0,0.5279209621993127
4,10,4.637240729820726,0.2212258579684454,-0.4310113243285655,-0.18085230320513923,270.0,0.5279209621993127
