overlap,n_per_side,n_features,mcc,false_alarm_rate,detection_rate,mean_accuracy_drifted,mean_accuracy_null,trials
0.05,500,1,0.9801960588196069,0.02,1.0,0.9697599999999998,0.5011999999999999,100
0.1,500,1,0.9607689228305227,0.04,1.0,0.94348,0.49559999999999993,100
0.15,500,1,0.9801960588196069,0.02,1.0,0.9136,0.49515999999999993,100
0.2,500,1,0.9801960588196069,0.02,1.0,0.8892,0.49863999999999997,100
0.25,500,1,0.8864052604279183,0.12,1.0,0.8619600000000002,0.50336,100
0.3,500,1,1.0,0.0,1.0,0.83864,0.4934400000000001,100
0.35,500,1,0.9229582069908971,0.08,1.0,0.81176,0.5048400000000001,100
0.4,500,1,0.9607689228305227,0.04,1.0,0.7897600000000001,0.49884000000000006,100
0.45,500,1,0.9229582069908971,0.08,1.0,0.75652,0.5093200000000001,100
0.5,500,1,0.9607689228305227,0.04,1.0,0.7280800000000001,0.5029600000000001,100
0.55,500,1,0.9607689228305227,0.04,1.0,0.70156,0.4917999999999999,100
0.6,500,1,0.9607689228305227,0.04,1.0,0.6761199999999999,0.49912000000000006,100
0.65,500,1,0.9229582069908971,0.08,1.0,0.64432,0.50188,100
0.7,500,1,0.9607689228305227,0.04,1.0,0.6202,0.49656,100
0.75,500,1,0.9229582069908971,0.08,1.0,0.5918399999999999,0.50428,100
0.8,500,1,0.88,0.06,0.94,0.5662,0.49896,100
0.85,500,1,0.5790660241435861,0.02,0.54,0.54264,0.50092,100
0.9,500,1,0.26666666666666666,0.02,0.18,0.5195200000000001,0.49612,100
0.95,500,1,0.14744195615489714,0.04,0.12,0.50956,0.49839999999999995,100
1.0,500,1,0.03919309008348103,0.06,0.08,0.50632,0.5015999999999999,100
0.05,5000,1,0.9607689228305227,0.04,1.0,0.9736720000000001,0.500268,100
0.1,5000,1,0.9229582069908971,0.08,1.0,0.94842,0.5004919999999999,100
0.15,5000,1,0.9416965821485117,0.06,1.0,0.9236999999999999,0.4998,100
0.2,5000,1,0.8864052604279183,0.12,1.0,0.8987999999999999,0.5012399999999999,100
0.25,5000,1,0.9229582069908971,0.08,1.0,0.872768,0.49982399999999994,100
0.3,5000,1,0.9607689228305227,0.04,1.0,0.8484480000000001,0.49964800000000004,100
0.35,5000,1,0.9416965821485117,0.06,1.0,0.821208,0.500608,100
0.4,5000,1,0.9607689228305227,0.04,1.0,0.7963199999999999,0.502672,100
0.45,5000,1,0.9801960588196069,0.02,1.0,0.7710360000000002,0.498864,100
0.5,5000,1,0.9229582069908971,0.08,1.0,0.7454,0.501228,100
0.55,5000,1,0.9607689228305227,0.04,1.0,0.719264,0.501424,100
0.6,5000,1,0.9801960588196069,0.02,1.0,0.6914199999999999,0.49923599999999996,100
0.65,5000,1,0.9801960588196069,0.02,1.0,0.6672159999999999,0.499608,100
0.7,5000,1,0.9607689228305227,0.04,1.0,0.637868,0.5008880000000001,100
0.75,5000,1,0.9607689228305227,0.04,1.0,0.612888,0.49965600000000004,100
0.8,5000,1,0.9607689228305227,0.04,1.0,0.58624,0.49950399999999995,100
0.85,5000,1,0.9801960588196069,0.02,1.0,0.5595,0.49890400000000007,100
0.9,5000,1,0.9801960588196069,0.02,1.0,0.532496,0.4995320000000001,100
0.95,5000,1,0.30891149673914237,0.1,0.36,0.5094960000000001,0.5001639999999999,100
1.0,5000,1,0.0,0.02,0.02,0.49994,0.49946799999999997,100
0.05,50000,1,0.9416965821485117,0.06,1.0,0.9747411999999999,0.4997767999999999,100
0.1,50000,1,0.9416965821485117,0.06,1.0,0.9496456000000001,0.4997992,100
0.15,50000,1,0.9416965821485117,0.06,1.0,0.9246987999999999,0.5004856,100
0.2,50000,1,0.9416965821485117,0.06,1.0,0.8996768,0.4995015999999999,100
0.25,50000,1,0.9416965821485117,0.06,1.0,0.8750888,0.5000976,100
0.3,50000,1,0.9229582069908971,0.08,1.0,0.8497688,0.4997035999999999,100
0.35,50000,1,0.9416965821485117,0.06,1.0,0.8243627999999998,0.5000132,100
0.4,50000,1,0.9607689228305227,0.04,1.0,0.7993527999999999,0.5001748,100
0.45,50000,1,0.9801960588196069,0.02,1.0,0.7742187999999999,0.4998564,100
0.5,50000,1,0.9416965821485117,0.06,1.0,0.7488968000000001,0.5001304000000001,100
0.55,50000,1,0.9801960588196069,0.02,1.0,0.7241824000000001,0.4994516,100
0.6,50000,1,0.9607689228305227,0.04,1.0,0.6990192,0.49967319999999993,100
0.65,50000,1,0.9416965821485117,0.06,1.0,0.6736951999999999,0.49986039999999987,100
0.7,50000,1,0.9416965821485117,0.06,1.0,0.6487056,0.5003496,100
0.75,50000,1,0.9607689228305227,0.04,1.0,0.6232412,0.5002244,100
0.8,50000,1,0.9229582069908971,0.08,1.0,0.597808,0.5001707999999999,100
0.85,50000,1,0.9416965821485117,0.06,1.0,0.5724416,0.5004848000000001,100
0.9,50000,1,0.9801960588196069,0.02,1.0,0.5458424,0.4997924,100
0.95,50000,1,0.9229582069908971,0.08,1.0,0.5189931999999999,0.499996,100
1.0,50000,1,0.03919309008348103,0.06,0.08,0.4998812,0.5003276,100
0.05,500,8,0.9801960588196069,0.02,1.0,0.9691199999999999,0.49559999999999993,100
0.1,500,8,0.9229582069908971,0.08,1.0,0.9401600000000001,0.5002,100
0.15,500,8,0.9045340337332908,0.1,1.0,0.9136400000000002,0.5036,100
0.2,500,8,0.9416965821485117,0.06,1.0,0.8837600000000001,0.49439999999999995,100
0.25,500,8,0.9229582069908971,0.08,1.0,0.85208,0.49892,100
0.3,500,8,0.9801960588196069,0.02,1.0,0.8206000000000002,0.50088,100
0.35,500,8,0.9801960588196069,0.02,1.0,0.7944,0.50124,100
0.4,500,8,0.9801960588196069,0.02,1.0,0.7718400000000001,0.5055999999999999,100
0.45,500,8,0.9229582069908971,0.08,1.0,0.73884,0.49964,100
0.5,500,8,0.9229582069908971,0.08,1.0,0.7055599999999999,0.4978,100
0.55,500,8,0.9607689228305227,0.04,1.0,0.68476,0.4981200000000001,100
0.6,500,8,0.9607689228305227,0.04,1.0,0.6556400000000001,0.49476,100
0.65,500,8,0.9229582069908971,0.08,1.0,0.62424,0.49888000000000005,100
0.7,500,8,0.9401880564188067,0.04,0.98,0.5948399999999999,0.49511999999999995,100
0.75,500,8,0.9401880564188067,0.02,0.96,0.57296,0.49735999999999997,100
0.8,500,8,0.729396808625797,0.06,0.78,0.5529600000000001,0.49808,100
0.85,500,8,0.345834250622541,0.02,0.26,0.5270400000000001,0.50132,100
0.9,500,8,0.13764944032233706,0.02,0.08,0.51188,0.50128,100
0.95,500,8,0.17471413945365305,0.04,0.14,0.5070800000000001,0.49755999999999995,100
1.0,500,8,0.11757927025044308,0.04,0.1,0.50264,0.50268,100
0.05,5000,8,0.9229582069908971,0.08,1.0,0.9723360000000001,0.50028,100
0.1,5000,8,0.9416965821485117,0.06,1.0,0.9454720000000001,0.501248,100
0.15,5000,8,0.9607689228305227,0.04,1.0,0.919092,0.5009440000000001,100
0.2,5000,8,0.9801960588196069,0.02,1.0,0.8936360000000001,0.499016,100
0.25,5000,8,0.9801960588196069,0.02,1.0,0.8664839999999999,0.500552,100
0.3,5000,8,0.9607689228305227,0.04,1.0,0.8402040000000001,0.50074,100
0.35,5000,8,0.9229582069908971,0.08,1.0,0.8164239999999998,0.501344,100
0.4,5000,8,0.9607689228305227,0.04,1.0,0.7893199999999999,0.499792,100
0.45,5000,8,0.9229582069908971,0.08,1.0,0.761636,0.50176,100
0.5,5000,8,0.9801960588196069,0.02,1.0,0.735792,0.4987559999999999,100
0.55,5000,8,1.0,0.0,1.0,0.7076239999999998,0.498248,100
0.6,5000,8,0.9416965821485117,0.06,1.0,0.6823440000000001,0.499864,100
0.65,5000,8,0.9229582069908971,0.08,1.0,0.65408,0.500972,100
0.7,5000,8,1.0,0.0,1.0,0.629452,0.49931600000000004,100
0.75,5000,8,0.9416965821485117,0.06,1.0,0.6011960000000001,0.49991199999999997,100
0.8,5000,8,0.9801960588196069,0.02,1.0,0.574512,0.49923599999999996,100
0.85,5000,8,0.9801960588196069,0.02,1.0,0.547596,0.5003679999999999,100
0.9,5000,8,0.9207368843792509,0.06,0.98,0.523528,0.49957200000000007,100
0.95,5000,8,0.3640728218472825,0.02,0.28,0.508312,0.4987519999999999,100
1.0,5000,8,-0.03494282789073061,0.1,0.08,0.499632,0.501544,100
0.05,50000,8,0.9229582069908971,0.08,1.0,0.9744508000000001,0.500254,100
0.1,50000,8,0.9416965821485117,0.06,1.0,0.949272,0.4995448,100
0.15,50000,8,0.9607689228305227,0.04,1.0,0.9240448000000002,0.4998832,100
0.2,50000,8,0.9607689228305227,0.04,1.0,0.8987636000000001,0.4998144,100
0.25,50000,8,0.9801960588196069,0.02,1.0,0.8737828000000001,0.500224,100
0.3,50000,8,0.9416965821485117,0.06,1.0,0.848864,0.5004868,100
0.35,50000,8,0.9416965821485117,0.06,1.0,0.8234468000000003,0.5002792,100
0.4,50000,8,0.9607689228305227,0.04,1.0,0.7985452000000001,0.5002532,100
0.45,50000,8,0.9229582069908971,0.08,1.0,0.7736012,0.5002308,100
0.5,50000,8,0.9607689228305227,0.04,1.0,0.7475628000000001,0.5000083999999999,100
0.55,50000,8,0.9416965821485117,0.06,1.0,0.7229328000000002,0.500074,100
0.6,50000,8,1.0,0.0,1.0,0.6971832,0.5003092,100
0.65,50000,8,0.9607689228305227,0.04,1.0,0.6728947999999998,0.4995028000000001,100
0.7,50000,8,0.9607689228305227,0.04,1.0,0.6470483999999999,0.5000792,100
0.75,50000,8,0.9801960588196069,0.02,1.0,0.6210892,0.4996024,100
0.8,50000,8,0.9229582069908971,0.08,1.0,0.5949563999999999,0.49981519999999996,100
0.85,50000,8,0.9607689228305227,0.04,1.0,0.56957,0.5000032000000001,100
0.9,50000,8,0.9801960588196069,0.02,1.0,0.5422043999999999,0.4998051999999999,100
0.95,50000,8,0.9801960588196069,0.02,1.0,0.5162848,0.499992,100
1.0,50000,8,0.0,0.08,0.08,0.49995319999999993,0.5001984,100
