seed,layers,auc_val,auc_test
0,1,0.6615469980911287,0.6706230637045024
0,2,0.6610922631573544,0.6708569210496601
0,3,0.6615829819007575,0.670848973050483
0,4,0.6625015453512042,0.6708641530128753
0,6,0.6625901380483988,0.6683866327828902
0,8,0.6623204547371653,0.669321990559925
1,1,0.6616509327226611,0.6706096022284185
1,2,0.6612394341492936,0.6706179440473746
1,3,0.6617646861921698,0.6700518102140955
1,4,0.6615465517803115,0.6695584256345457
1,6,0.6612407172928928,0.6660946374706345
1,8,0.6612042313835947,0.6689674095515903
2,1,0.6611328774417108,0.6706592951241745
2,2,0.6610719560151763,0.6710421595530046
2,3,0.661220968039236,0.669901585869288
2,4,0.6614478055120279,0.6668969915677456
2,6,0.6625523132066494,0.668465181927911
2,8,0.6606227441777638,0.6684992652396977
