seed,model,auc,layers
0,logreg_dist,0.5624646143978077,
0,logreg_degree,0.6600343597016679,
0,logreg_features,0.6637159302033921,
0,mlp_features,0.6671457424609111,
0,gnn,0.6683866327828902,6.0
1,logreg_dist,0.5624646143978077,
1,logreg_degree,0.6600343597016679,
1,logreg_features,0.6636849974498379,
1,mlp_features,0.6671271255259016,
1,gnn,0.6700518102140955,3.0
2,logreg_dist,0.5624646143978077,
2,logreg_degree,0.6600343597016679,
2,logreg_features,0.663626712122539,
2,mlp_features,0.6671990155364766,
2,gnn,0.668465181927911,6.0
