n_train,seed,model,fit_seconds,n_parameters,auc,balanced_accuracy,accuracy
100,0,majority class,0.00020129999029450119,1,0.5,0.5,0.85098
100,0,logistic regression,0.005305799990310334,8,0.5248198368237835,0.5023865388839713,0.842135
100,0,gradient boosting,1.6413145999977132,1312,0.5042467334329237,0.5032166743363826,0.763375
100,0,hyperdimensional,0.01613740000175312,730000,0.5368291585173864,0.5259969945551246,0.52392
100,1,majority class,0.0001939000067068264,1,0.5,0.5,0.85098
100,1,logistic regression,0.005146800001966767,8,0.470043908639187,0.5000306147539105,0.850985
100,1,gradient boosting,0.10352140000031795,1378,0.4755205265381873,0.49703838855069915,0.806065
100,1,hyperdimensional,0.016133800003444776,730000,0.45443789362493914,0.47077281909107394,0.571505
100,2,majority class,0.00018620000628288835,1,0.5,0.5,0.85098
100,2,logistic regression,0.004727699997602031,8,0.5153514012134759,0.5001022032122318,0.85073
100,2,gradient boosting,0.12534629998845048,1356,0.5158196617148194,0.5015029452065906,0.763685
100,2,hyperdimensional,0.016124200003105216,730000,0.5181809535894131,0.5139559469245621,0.549095
100,3,majority class,0.0005621000018436462,1,0.5,0.5,0.85098
100,3,logistic regression,0.004676699987612665,8,0.5064375728046188,0.5019301638914426,0.835635
100,3,gradient boosting,0.10676310000417288,1364,0.48163593580482245,0.49485667284644125,0.793025
100,3,hyperdimensional,0.016717399994377047,730000,0.4739651395636131,0.48236386173650236,0.51862
100,4,majority class,0.00018319999799132347,1,0.5,0.5,0.85098
100,4,logistic regression,0.004593499994371086,8,0.5171048464877266,0.500015461738053,0.850865
100,4,gradient boosting,0.1550210999994306,1390,0.5175477719564101,0.5047844228157748,0.82443
100,4,hyperdimensional,0.015954500006046146,730000,0.5297625861220978,0.522358199590068,0.572675
300,0,majority class,0.00017210000078193843,1,0.5,0.5,0.85098
300,0,logistic regression,0.00493000001006294,8,0.533030105683233,0.5000553539290765,0.85098
300,0,gradient boosting,0.136075799993705,3500,0.5270292481223674,0.5025200283110318,0.830845
300,0,hyperdimensional,0.05229269999836106,730000,0.5504931332984151,0.5334593592534628,0.568605
300,1,majority class,0.0001677999971434474,1,0.5,0.5,0.85098
300,1,logistic regression,0.004949199996190146,8,0.5191758283112708,0.5000749903166898,0.850825
300,1,gradient boosting,0.14990099999704398,3466,0.5295228830513735,0.5039518100944566,0.796375
300,1,hyperdimensional,0.05191049999848474,730000,0.5339502090130486,0.5229623783893593,0.57335
300,2,majority class,0.00017270000535063446,1,0.5,0.5,0.85098
300,2,logistic regression,0.004324800000176765,8,0.5402890368460185,0.5000727456737027,0.84962
300,2,gradient boosting,0.1352243000001181,3508,0.5410680871535549,0.5094376312071303,0.78906
300,2,hyperdimensional,0.0516535000060685,730000,0.5592323978369492,0.5418058274347995,0.607305
300,3,majority class,0.0003146999952150509,1,0.5,0.5,0.85098
300,3,logistic regression,0.004748699997435324,8,0.5264589350242181,0.5000071124389325,0.850945
300,3,gradient boosting,0.3039184999943245,3566,0.5243316320011937,0.5046316222831079,0.80806
300,3,hyperdimensional,0.054330600003595464,730000,0.5390820863385408,0.5288156061200507,0.57952
300,4,majority class,0.0001706000039121136,1,0.5,0.5,0.85098
300,4,logistic regression,0.005932099986239336,8,0.5135783187630494,0.5000808658954343,0.850835
300,4,gradient boosting,0.1913607000024058,3506,0.5179872549557594,0.5048515819188676,0.813875
300,4,hyperdimensional,0.05493589999969117,730000,0.5273474252800734,0.521924651508787,0.57547
1000,0,majority class,0.0001866999955382198,1,0.5,0.5,0.85098
1000,0,logistic regression,0.006242500006919727,8,0.5143067535146442,0.5000167762716414,0.850985
1000,0,gradient boosting,0.29502979999233503,5890,0.5346689010756903,0.5081327259661396,0.82848
1000,0,hyperdimensional,0.16771569999400526,730000,0.5353526378410379,0.526181712546854,0.535045
