kind,fraction,model,auc,balanced_accuracy,accuracy
input,0.0,logistic regression,0.5422124003721144,0.5,0.85098
input,0.0,gradient boosting,0.6009930606536775,0.5095737520670548,0.84928
input,0.0,hyperdimensional,0.5596730887168169,0.5417881364307271,0.543
input,0.1,logistic regression,0.5368137968281931,0.5,0.85098
input,0.1,gradient boosting,0.5801596244129456,0.5104144621417938,0.83307
input,0.1,hyperdimensional,0.5555170977267546,0.5387882071553153,0.545855
input,0.2,logistic regression,0.5317559646287352,0.5,0.85098
input,0.2,gradient boosting,0.565055067294515,0.512068941844053,0.81914
input,0.2,hyperdimensional,0.550559789988663,0.5363613021542937,0.550015
input,0.4,logistic regression,0.5246501565206548,0.5,0.85098
input,0.4,gradient boosting,0.5407683370243891,0.5091798864191881,0.79206
input,0.4,hyperdimensional,0.5394734255309184,0.5285558642977279,0.553335
dimension_dropout,0.0,hyperdimensional,0.5596730887168169,0.5417881364307271,0.543
dimension_dropout,0.2,hyperdimensional,0.5599078001872924,0.5419927001733976,0.543725
dimension_dropout,0.5,hyperdimensional,0.5597471004275179,0.5419622387948817,0.543155
dimension_dropout,0.8,hyperdimensional,0.5596734374585561,0.5412948906241657,0.53924
