seed,model,set,n_trajectories,field_rmse,energy_drift_final,energy_drift_max,state_error_final,state_error_mean,blew_up
0,mlp,pre-registered,2,0.004868585996681394,0.04427439278494294,0.048985741265121896,1.7607173980012154,0.5972849854994943,0
0,mlp,extended,20,0.004868585996681394,0.0273983224316664,0.03346408595745154,1.4283118214806827,0.4091914331185311,0
0,hnn,pre-registered,2,0.008391011317894232,0.0013412611438713418,0.0014885688910410977,0.035269933220370496,0.013816348586400965,0
0,hnn,extended,20,0.008391011317894232,0.0006960525722786715,0.0028444640256761744,0.06229234282170525,0.03855255995201883,0
1,mlp,pre-registered,2,0.006108874888119977,0.03937499845621539,0.05258146942849473,3.180378574402616,1.0636965682677249,0
1,mlp,extended,20,0.006108874888119977,0.06884398064481034,0.07329294459025659,2.8395714489916584,1.0636965682676756,0
1,hnn,pre-registered,2,0.010307487504715,0.002236116315768588,0.004774134082058179,0.16163733711733863,0.0652961083074082,0
1,hnn,extended,20,0.010307487504715,0.0018453663893810424,0.0051664842686057755,0.1408391624861363,0.07876931662058556,0
2,mlp,pre-registered,2,0.005963749038044438,0.19012593797356814,0.19221428518885425,3.2990496773985623,1.5145186676465003,0
2,mlp,extended,20,0.005963749038044438,0.21831552995365633,0.21948796684548955,2.3153920169286737,1.7851197720134127,0
2,hnn,pre-registered,2,0.009328466346164566,0.0016707406366935906,0.0027742429307083816,0.05478538917327083,0.021094257252945493,0
2,hnn,extended,20,0.009328466346164566,0.0013803680551076614,0.003295148469822151,0.2455301411595789,0.14767623610050207,0
