model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
ridge,full,0,0,642080,163760,0.08052323224558953,0.7228961339407707,13.916820375427477,1.3492558000143617,0.16350580006837845,325.8327039999999,52008723.0,,2026-08-09T14:16:26,
random_forest,full,0,0,642080,163760,0.04161400919859649,0.8847848999043502,4.933839179048093,88.81397200003266,1.021162400022149,2251.32544,,,2026-08-09T14:16:27,
lightgbm,full,0,0,642080,163760,0.05074014201307784,0.8799111183596585,8.23791749355866,2.3461798999924213,0.6964405999751762,73.04806400000007,,,2026-08-09T14:17:57,
catboost,full,0,0,642080,163760,0.04658671053105111,0.8868115818058927,6.739792709952813,240.26067129999865,0.21190340002067387,712.482816,,,2026-08-09T14:18:01,
mlp,full,0,0,642080,163760,0.05412025825648542,0.8649242826317279,8.680666807086109,40.011066899984144,0.1881831999635324,326.033408,53934720000.0,,2026-08-09T14:22:03,
ridge,full,0,1,645469,160371,0.07907682352617494,0.7397663389673805,13.387301919748202,1.9520161000546068,0.19359619996976107,315.8179839999999,52283232.0,,2026-08-09T14:23:39,
random_forest,full,0,1,645469,160371,0.038612444328217185,0.8919228132135136,4.349685092395757,153.6611106999917,1.2221878999844193,2245.197824,,,2026-08-09T14:23:41,
lightgbm,full,0,1,645469,160371,0.04802485101162376,0.8864534224886149,7.281458512128366,6.607963100075722,0.47751490003429353,77.13587199999995,,,2026-08-09T14:26:17,
catboost,full,0,1,645469,160371,0.04331975892992202,0.899345964616779,6.368676311354353,211.9225195000181,0.20800860004965216,676.749312,,,2026-08-09T14:26:24,
mlp,full,0,1,645469,160371,0.04972456319665045,0.8815708563233496,8.01519531287448,41.91322620003484,0.21148099994752556,317.5792640000001,54219396000.0,,2026-08-09T14:29:56,
ridge,full,0,2,643414,162426,0.07761926985107913,0.7495667339905705,13.256338965285869,1.6293950999388471,0.1453783999895677,324.36224000000004,52116777.0,,2026-08-09T14:31:23,
random_forest,full,0,2,643414,162426,0.038487747834762914,0.9039101814917467,4.79021785264592,117.61263170000166,1.4319233999121934,2278.11328,,,2026-08-09T14:31:25,
lightgbm,full,0,2,643414,162426,0.04698074212444572,0.900982739201779,7.510043214013852,3.097433299990371,0.809332299977541,75.76371199999994,,,2026-08-09T14:33:25,
catboost,full,0,2,643414,162426,0.041945633174330234,0.9144696555787712,6.327414040413114,247.5319531999994,0.23208540002815425,697.167872,,,2026-08-09T14:33:29,
mlp,full,0,2,643414,162426,0.04771284924687412,0.8960420381031323,7.482277946937923,42.5457220999524,0.22293180006090552,326.92224,54046776000.0,,2026-08-09T14:37:37,
ridge,full,0,3,651103,154737,0.0760696565601313,0.7422972884599137,13.206806575378968,1.316036899923347,0.12623910000547767,328.183808,52739586.0,,2026-08-09T14:39:05,
random_forest,full,0,3,651103,154737,0.03677768899055679,0.9057317058680567,4.367680966964954,89.8404704000568,0.9630052999127656,2290.622464,,,2026-08-09T14:39:07,
lightgbm,full,0,3,651103,154737,0.04631597199459995,0.899752693965307,7.747344549864654,2.675789500004612,0.5123420999152586,78.47116799999992,,,2026-08-09T14:40:38,
catboost,full,0,3,651103,154737,0.0417256300085134,0.910241146582056,6.47787935411359,216.17677819996607,0.2090785000473261,644.263936,,,2026-08-09T14:40:41,
mlp,full,0,3,651103,154737,0.04767683057643835,0.8909044925416972,7.649119382387404,43.83429350005463,0.18404399999417365,306.31936,54692652000.0,,2026-08-09T14:44:17,
ridge,full,0,4,641294,164546,0.07859780875621307,0.7229617164507863,13.357590382061742,1.197152299922891,0.13835160003509372,323.293184,51945057.0,,2026-08-09T14:45:47,
random_forest,full,0,4,641294,164546,0.04024661190653804,0.8804210329435246,4.643150667282672,86.5317825000966,1.1182314000325277,2179.05152,,,2026-08-09T14:45:49,
lightgbm,full,0,4,641294,164546,0.048450127233664264,0.8778459762839878,7.663529361767396,2.6596237999619916,0.5824456000700593,75.98899200000005,,,2026-08-09T14:47:17,
