window,feature,ks_stat,ks_p,psi,n_ref,n_cur,ks_p_bh,shifted
2021,dlog_lag1,0.375,0.0002127724764054269,1.7123892179732312,64,64,0.0007659809150595368,True
2021,dlog_lag2,0.171875,0.30267225802341036,0.3313929172013094,64,64,0.38915004603009906,True
2021,dlog_lag3,0.203125,0.14294758467107363,1.2140190170588443,64,64,0.2450530022932691,True
2021,dlog_lag4,0.140625,0.5550743827707426,0.3207785165785287,64,64,0.6446025090240882,True
2021,level_lag1,0.453125,2.6939106285790035e-06,1.995495742360811,64,64,2.424519565721103e-05,True
2021,quarter_of_year,0.0,1.0,0.0,64,64,1.0,False
2022,dlog_lag1,0.28125,0.012310266753851218,0.33765843092926123,64,64,0.03165497165276027,True
2022,dlog_lag2,0.375,0.0002127724764054269,1.7930562249619277,64,64,0.0007659809150595368,True
2022,dlog_lag3,0.171875,0.30267225802341036,0.5178283279817706,64,64,0.38915004603009906,True
2022,dlog_lag4,0.203125,0.14294758467107363,0.3724379468349596,64,64,0.2450530022932691,True
2022,level_lag1,0.3125,0.0036549418370471773,1.8966111847277896,64,64,0.011961627830336217,True
2022,quarter_of_year,0.0,1.0,0.0,64,64,1.0,False
2023,dlog_lag1,0.140625,0.5550743827707426,1.5248160695041855,64,64,0.6446025090240882,True
2023,dlog_lag2,0.390625,9.562807928334129e-05,0.8024385841742729,64,64,0.000491801550600041,True
2023,dlog_lag3,0.421875,1.7304128632223687e-05,0.9792067141788412,64,64,0.00010382477179334211,True
2023,dlog_lag4,0.578125,3.1372994320406296e-10,2.6075134492580916,64,64,1.1294277955346267e-08,True
2023,level_lag1,0.171875,0.30267225802341036,1.5892264283578832,64,64,0.38915004603009906,True
2023,quarter_of_year,0.0,1.0,0.0,64,64,1.0,False
2024,dlog_lag1,0.25,0.03624313869735272,0.6678176327224342,64,64,0.08154706206904362,True
2024,dlog_lag2,0.234375,0.05917166976306816,1.589666148814937,64,64,0.12530471243943847,True
2024,dlog_lag3,0.171875,0.30267225802341036,1.46780550262904,64,64,0.38915004603009906,True
2024,dlog_lag4,0.1875,0.2115209749688004,0.6842385798767787,64,64,0.33107630864681803,True
2024,level_lag1,0.375,0.0002127724764054269,1.8980784451580777,64,64,0.0007659809150595368,True
2024,quarter_of_year,0.0,1.0,0.0,64,64,1.0,False
2025,dlog_lag1,0.171875,0.30267225802341036,1.4842817325568283,64,64,0.38915004603009906,True
2025,dlog_lag2,0.296875,0.0068225580221817584,1.87642096968767,64,64,0.020467674066545274,True
2025,dlog_lag3,0.265625,0.021477475773723054,2.0203365802749116,64,64,0.051545941856935326,True
2025,dlog_lag4,0.28125,0.012310266753851218,3.06370010310117,64,64,0.03165497165276027,True
2025,level_lag1,0.546875,3.90230594379438e-09,3.4635423294501853,64,64,7.024150698829884e-08,True
2025,quarter_of_year,0.0,1.0,0.0,64,64,1.0,False
2026,dlog_lag1,0.34375,0.08355124469507014,5.045132378876499,64,16,0.16710248939014027,True
2026,dlog_lag2,0.296875,0.18670150118810383,2.968306896730511,64,16,0.3055115473987154,True
2026,dlog_lag3,0.234375,0.4473707959728691,5.035086139966641,64,16,0.5553568501732168,True
2026,dlog_lag4,0.328125,0.11075861015349202,2.906389582875926,64,16,0.2098584192381954,True
2026,level_lag1,0.65625,1.0454623342674673e-05,6.484066173355915,64,16,7.527328806725764e-05,True
2026,quarter_of_year,0.75,1.4433705848626965e-07,10.708180957173603,64,16,1.732044701835236e-06,True
