complexity,loss,equation,score,sympy_format,lambda_format
1,0.010257053,1.5590241,0.0,1.55902410000000,PySRFunction(X=>1.55902410000000)
3,0.009506718,anio_construccion * 0.0007813015,0.0379834299659538,anio_construccion*0.0007813015,PySRFunction(X=>anio_construccion*0.0007813015)
5,0.007258889,(calidad_ponderada * -0.1020825) + 1.822678,0.13488595987977967,1.822678 + calidad_ponderada*(-0.1020825),PySRFunction(X=>1.822678 + calidad_ponderada*(-0.1020825))
7,0.006585472,1.8639914 - ((0.2548483 / log10_sup_terreno_m2) * calidad_ponderada),0.048680388070329664,1.8639914 - 0.2548483*calidad_ponderada/log10_sup_terreno_m2,PySRFunction(X=>1.8639914 - 0.2548483*calidad_ponderada/log10_sup_terreno_m2)
9,0.0065545524,((-0.3158298 - calidad_ponderada) * (0.24814306 / log10_sup_terreno_m2)) + 1.8873721,0.002353089775661205,1.8873721 + (-calidad_ponderada - 0.3158298)*0.24814306/log10_sup_terreno_m2,PySRFunction(X=>1.8873721 + (-calidad_ponderada - 0.3158298)*0.24814306/log10_sup_terreno_m2)
11,0.006420061,((n_lineas_construccion - ((calidad_ponderada / log10_sup_terreno_m2) * -15.526817)) * -0.016561737) + 1.8901998,0.010366105958499195,1.8901998 + (-(-15.526817)*calidad_ponderada/log10_sup_terreno_m2 + n_lineas_construccion)*(-0.016561737),PySRFunction(X=>1.8901998 + (-(-15.526817)*calidad_ponderada/log10_sup_terreno_m2 + n_lineas_construccion)*(-0.016561737))
12,0.0064079626,((log(n_lineas_construccion) * -0.037236135) - ((calidad_ponderada * 0.2547974) / log10_sup_terreno_m2)) + 1.8639293,0.0018862459197688,-0.2547974*calidad_ponderada/log10_sup_terreno_m2 - 0.037236135*log(n_lineas_construccion) + 1.8639293,PySRFunction(X=>-0.2547974*calidad_ponderada/log10_sup_terreno_m2 - 0.037236135*log(n_lineas_construccion) + 1.8639293)
13,0.006345405,1.8669796 + ((((n_lineas_construccion * n_lineas_construccion) - (calidad_ponderada * -23.004196)) / log10_sup_terreno_m2) * -0.011259257),0.009810444378043109,1.8669796 + (-(-23.004196)*calidad_ponderada + n_lineas_construccion*n_lineas_construccion)*(-0.011259257)/log10_sup_terreno_m2,PySRFunction(X=>1.8669796 + (-(-23.004196)*calidad_ponderada + n_lineas_construccion*n_lineas_construccion)*(-0.011259257)/log10_sup_terreno_m2)
14,0.0063233036,(((log(n_lineas_construccion) * n_lineas_construccion) - (calidad_ponderada * (-23.004196 / log10_sup_terreno_m2))) * -0.011259257) + 1.8669796,0.0034891358101002213,-0.259010154842372*calidad_ponderada/log10_sup_terreno_m2 - 0.011259257*n_lineas_construccion*log(n_lineas_construccion) + 1.8669796,PySRFunction(X=>-0.259010154842372*calidad_ponderada/log10_sup_terreno_m2 - 0.011259257*n_lineas_construccion*log(n_lineas_construccion) + 1.8669796)
15,0.0062915003,1.8669796 + ((((n_lineas_construccion * n_lineas_construccion) / calidad_ponderada) - (calidad_ponderada * (-23.004196 / log10_sup_terreno_m2))) * -0.011259257),0.005042229373183883,1.8669796 + (-(-23.004196)*calidad_ponderada/log10_sup_terreno_m2 + n_lineas_construccion*n_lineas_construccion/calidad_ponderada)*(-0.011259257),PySRFunction(X=>1.8669796 + (-(-23.004196)*calidad_ponderada/log10_sup_terreno_m2 + n_lineas_construccion*n_lineas_construccion/calidad_ponderada)*(-0.011259257))
16,0.0062853517,sqrt(log(sqrt(exp(((sqrt(es_departamento * 0.18088338) / (calidad_ponderada - 1.2301636)) + 1.9039986) * log10_sup_terreno_m2)))),0.000977764625019177,sqrt(log(sqrt(exp(log10_sup_terreno_m2*(0.425303867840395*sqrt(es_departamento)/(calidad_ponderada - 1.2301636) + 1.9039986))))),PySRFunction(X=>sqrt(log(sqrt(exp(log10_sup_terreno_m2*(0.425303867840395*sqrt(es_departamento)/(calidad_ponderada - 1.2301636) + 1.9039986))))))
17,0.0062632547,((((n_lineas_construccion * (n_lineas_construccion - (2.838675 / n_pisos))) - (calidad_ponderada * -23.004196)) / log10_sup_terreno_m2) * -0.011259257) + 1.8669796,0.0035218289800850087,1.8669796 + (-(-23.004196)*calidad_ponderada + n_lineas_construccion*(n_lineas_construccion - 2.838675/n_pisos))*(-0.011259257)/log10_sup_terreno_m2,PySRFunction(X=>1.8669796 + (-(-23.004196)*calidad_ponderada + n_lineas_construccion*(n_lineas_construccion - 2.838675/n_pisos))*(-0.011259257)/log10_sup_terreno_m2)
18,0.006089677,((((n_lineas_construccion * log(n_lineas_construccion)) - (calidad_ponderada / n_pisos)) - ((calidad_ponderada * -19.396109) / log10_sup_terreno_m2)) * -0.014385969) + 1.8828031,0.028104927579739813,0.014385969*calidad_ponderada/n_pisos - 0.279031822794621*calidad_ponderada/log10_sup_terreno_m2 - 0.014385969*n_lineas_construccion*log(n_lineas_construccion) + 1.8828031,PySRFunction(X=>0.014385969*calidad_ponderada/n_pisos - 0.279031822794621*calidad_ponderada/log10_sup_terreno_m2 - 0.014385969*n_lineas_construccion*log(n_lineas_construccion) + 1.8828031)
