encoding,n_steps,seed,rmse,ops_input,ops_hidden,ops_total,spike_rate,input_spike_rate
direct,1,0,0.01662169210612774,896.0,3.762,899.762,0.05878125,1.0
direct,1,1,0.016440249979496002,896.0,3.8125,899.8125,0.0595703125,1.0
direct,1,2,0.016499008983373642,896.0,4.129,900.129,0.064515625,1.0
direct,2,0,0.013977834023535252,1792.0,7.578,1799.578,0.059203125,1.0
direct,2,1,0.014720546081662178,1792.0,8.0885,1800.0885,0.06319140625,1.0
direct,2,2,0.014840572141110897,1792.0,8.906,1800.906,0.069578125,1.0
direct,4,0,0.016857516020536423,3584.0,18.6175,3602.6175,0.072724609375,1.0
direct,4,1,0.0164523683488369,3584.0,17.2075,3601.2075,0.067216796875,1.0
direct,4,2,0.01711593009531498,3584.0,19.3275,3603.3275,0.075498046875,1.0
direct,8,0,0.014853439293801785,7168.0,34.3625,7202.3625,0.0671142578125,1.0
direct,8,1,0.014926553703844547,7168.0,27.606,7195.606,0.05391796875,1.0
direct,8,2,0.015539337880909443,7168.0,14.85,7182.85,0.02900390625,1.0
direct,16,0,0.012775935232639313,14336.0,62.2055,14398.2055,0.06074755859375,1.0
direct,16,1,0.013881459832191467,14336.0,70.346,14406.346,0.068697265625,1.0
direct,16,2,0.013384830206632614,14336.0,83.531,14419.531,0.0815732421875,1.0
direct,32,0,0.01721244491636753,28672.0,284.463,28956.463,0.13889794921875,1.0
direct,32,1,0.014184524305164814,28672.0,216.154,28888.154,0.1055439453125,1.0
direct,32,2,0.01711038313806057,28672.0,279.9655,28951.9655,0.136701904296875,1.0
rate,1,0,0.10925662517547607,244.096,2.45,246.546,0.03828125,0.2724285714285714
rate,1,1,0.1119554415345192,242.528,2.043,244.571,0.031921875,0.27067857142857144
rate,1,2,0.10658486932516098,244.544,2.0865,246.6305,0.0326015625,0.2729285714285714
rate,2,0,0.09393887221813202,490.048,4.7885,494.8365,0.03741015625,0.2734642857142857
rate,2,1,0.08912798762321472,489.28,3.694,492.974,0.028859375,0.27303571428571427
rate,2,2,0.09246310591697693,490.08,4.361,494.441,0.0340703125,0.27348214285714284
rate,4,0,0.07132644951343536,980.032,5.5225,985.5545000000001,0.021572265625,0.2734464285714286
rate,4,1,0.07176867872476578,979.552,5.0275,984.5795,0.019638671875,0.2733125
rate,4,2,0.07301317900419235,976.608,6.546,983.154,0.0255703125,0.27249107142857143
rate,8,0,0.059552427381277084,1962.496,20.6635,1983.1595000000002,0.0403583984375,0.2737857142857143
rate,8,1,0.05981588363647461,1959.904,8.3735,1968.2775,0.0163544921875,0.27342410714285714
rate,8,2,0.05885060876607895,1951.84,11.3905,1963.2305,0.0222470703125,0.27229910714285716
rate,16,0,0.04890536516904831,3919.712,45.4435,3965.1555,0.04437841796875,0.2734174107142857
rate,16,1,0.049085941165685654,3917.888,24.781,3942.669,0.0242001953125,0.27329017857142857
rate,16,2,0.047797791659832,3912.032,17.683,3929.715,0.0172685546875,0.2728816964285714
rate,32,0,0.04247754439711571,7840.512,52.887,7893.398999999999,0.02582373046875,0.2734553571428571
rate,32,1,0.04367195814847946,7827.456,26.4405,7853.8965,0.012910400390625,0.273
rate,32,2,0.04400590807199478,7832.768,106.708,7939.476,0.052103515625,0.27318526785714287
