seed,half,equation,gbdt_library,gbdt_raw,unseen_u_share,terms
0,trained on,0.002055285542929116,0.005584853801678802,0.09511403596961726,0.0,u_xx
0,held out (later),0.002049361480179895,0.0019257675375746513,0.008310027424972031,0.4944846980976013,u_xx
1,trained on,0.0020449194513458024,0.005576240659809332,0.09511403303123442,0.0,u_xx
1,held out (later),0.002058584909536844,0.0019009052615239616,0.008310005583434572,0.4944846980976013,u_xx
2,trained on,0.0020483803374876115,0.005593084479656613,0.0951140330616399,0.0,u_xx
2,held out (later),0.0020424195907899367,0.0019103199989612585,0.008310036991513581,0.4944846980976013,u_xx
3,trained on,0.0020452265168150597,0.005555231734449511,0.09495099476558297,0.0,u_xx
3,held out (later),0.002041232023871547,0.0019469699242159434,0.008108091333557683,0.4944846980976013,u_xx
4,trained on,0.002038038922653222,0.005543874814926195,0.09511279419816183,0.0,u_xx
4,held out (later),0.002053000826543234,0.0018848141112788599,0.008310027414541106,0.4944846980976013,u_xx
