sigma,seed,terms,n_terms,coef,coef_rel_error,kept_true_term,right_term_set,recovered
0.0,0,u_xx,1,1.3333381632866106,3.622464957997451e-06,True,True,True
0.0,1,u_xx,1,1.3333381632866106,3.622464957997451e-06,True,True,True
0.0,2,u_xx,1,1.3333381632866106,3.622464957997451e-06,True,True,True
0.0,3,u_xx,1,1.3333381632866106,3.622464957997451e-06,True,True,True
0.0,4,u_xx,1,1.3333381632866106,3.622464957997451e-06,True,True,True
1e-09,0,u_xx,1,1.333338135543467,3.6016576003272682e-06,True,True,True
1e-09,1,u_xx,1,1.333338191086119,3.6433145893521868e-06,True,True,True
1e-09,2,u_xx,1,1.3333381422935917,3.606720193838342e-06,True,True,True
1e-09,3,u_xx,1,1.333338140053904,3.6050404280119075e-06,True,True,True
1e-09,4,u_xx,1,1.333338170109363,3.6275820222697597e-06,True,True,True
2e-09,0,u_xx,1,1.3333380797376302,3.559803222696889e-06,True,True,True
2e-09,1,u_xx,1,1.333338190838657,3.6431289928140487e-06,True,True,True
2e-09,2,u_xx,1,1.3333380934263717,3.570069778802143e-06,True,True,True
2e-09,3,u_xx,1,1.3333380890067894,3.566755092110352e-06,True,True,True
2e-09,4,u_xx,1,1.3333381490547547,3.6117910660604657e-06,True,True,True
5e-09,0,u_xx,1,1.3333377439441176,3.307958088283325e-06,True,True,True
5e-09,1,u_xx,1,1.3333380218144295,3.5163608221866482e-06,True,True,True
5e-09,2,u_xx,1,1.3333377795795183,3.3346846387560802e-06,True,True,True
5e-09,3,u_xx,1,1.3333377689790868,3.3267343151899276e-06,True,True,True
5e-09,4,u_xx,1,1.3333379186267056,3.438970029245869e-06,True,True,True
1e-08,0,u_xx,1,1.3333366230359867,2.4672769900480063e-06,True,True,True
1e-08,1,u_xx,1,1.3333371791684137,2.884376310297032e-06,True,True,True
1e-08,2,u_xx,1,1.3333366990185014,2.5242638760913927e-06,True,True,True
1e-08,3,u_xx,1,1.3333366793127637,2.5094845728101944e-06,True,True,True
1e-08,4,u_xx,1,1.3333369770333374,2.732775003122523e-06,True,True,True
2e-08,0,u_xx,1,1.3333322765396105,7.925952920651014e-07,True,True,True
2e-08,1,u_xx,1,1.3333333903664424,4.277483184322861e-08,True,True,True
2e-08,2,u_xx,1,1.3333324473506618,6.644870035876771e-07,True,True,True
2e-08,3,u_xx,1,1.3333324139197942,6.895601543099872e-07,True,True,True
2e-08,4,u_xx,1,1.3333330030595474,2.477053394067674e-07,True,True,True
5e-08,0,u|u_xx|u*u_xx,3,1.334105337476124,0.000579003107093079,True,False,False
5e-08,1,u|u_xx|u*u_xx,3,1.3341117015940638,0.0005837761955478915,True,False,False
5e-08,2,u|u_xx|u*u_xx,3,1.3340982394868666,0.0005736796151499801,True,False,False
5e-08,3,u|u_xx|u*u_xx,3,1.334096553101957,0.0005724148264678597,True,False,False
5e-08,4,u|u_xx|u*u_xx,3,1.3341034722275968,0.0005776041706976875,True,False,False
1e-07,0,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3527261845392613,0.01454463840444603,True,False,False
1e-07,1,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3528510866514647,0.014638314988598577,True,False,False
1e-07,2,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.35269328354445,0.014519962658337604,True,False,False
1e-07,3,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3526113155335802,0.014458486650185176,True,False,False
1e-07,4,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3526809947750558,0.014510746081291881,True,False,False
2e-07,0,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.3664410034277688,0.02483075257082662,True,False,False
2e-07,1,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.366840118301058,0.025130088725793476,True,False,False
2e-07,2,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.3664786173998869,0.024858963049915195,True,False,False
2e-07,3,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.3664753516869876,0.024856513765240784,True,False,False
