threshold,sigma,seed,terms,n_terms,coef,coef_rel_error,kept_true_term,right_term_set,recovered
0.0001,0.0,0,u|u_xx|u*u_xx,3,1.3333095029797075,1.7872765219306697e-05,True,False,False
0.0001,0.0,1,u|u_xx|u*u_xx,3,1.3333095029797075,1.7872765219306697e-05,True,False,False
0.0001,0.0,2,u|u_xx|u*u_xx,3,1.3333095029797075,1.7872765219306697e-05,True,False,False
0.0001,0.0,3,u|u_xx|u*u_xx,3,1.3333095029797075,1.7872765219306697e-05,True,False,False
0.0001,0.0,4,u|u_xx|u*u_xx,3,1.3333095029797075,1.7872765219306697e-05,True,False,False
0.0001,1e-09,0,u|u_xx|u*u_xx,3,1.333309847139475,1.761464539362656e-05,True,False,False
0.0001,1e-09,1,u|u_xx|u*u_xx,3,1.3333098457815187,1.7615663860937048e-05,True,False,False
0.0001,1e-09,2,u|u_xx|u*u_xx,3,1.3333097427131266,1.7692965154969542e-05,True,False,False
0.0001,1e-09,3,u|u_xx|u*u_xx,3,1.33330975038652,1.7687210109862406e-05,True,False,False
0.0001,1e-09,4,u|u_xx|u*u_xx,3,1.3333098479709224,1.7614021808110003e-05,True,False,False
0.0001,2e-09,0,u|u_xx|u*u_xx,3,1.33331084046063,1.6869654527462696e-05,True,False,False
0.0001,2e-09,1,u|u_xx|u*u_xx,3,1.3333108431147322,1.6867663950759226e-05,True,False,False
0.0001,2e-09,2,u|u_xx|u*u_xx,3,1.3333106299369846,1.7027547261516673e-05,True,False,False
0.0001,2e-09,3,u|u_xx|u*u_xx,3,1.3333106434426825,1.701741798809664e-05,True,False,False
0.0001,2e-09,4,u|u_xx|u*u_xx,3,1.3333108404795977,1.686964030167548e-05,True,False,False
0.0001,5e-09,0,u_xx,1,1.3333377439441176,3.307958088283325e-06,True,True,True
0.0001,5e-09,1,u_xx,1,1.3333380218144295,3.5163608221866482e-06,True,True,True
0.0001,5e-09,2,u_xx,1,1.3333377795795183,3.3346846387560802e-06,True,True,True
0.0001,5e-09,3,u_xx,1,1.3333377689790868,3.3267343151899276e-06,True,True,True
0.0001,5e-09,4,u_xx,1,1.3333379186267056,3.438970029245869e-06,True,True,True
0.0001,1e-08,0,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3335670168677463,0.0001752626508097488,True,False,False
0.0001,1e-08,1,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3335663238402078,0.00017474288015589812,True,False,False
0.0001,1e-08,2,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3335667883566686,0.00017509126750153703,True,False,False
0.0001,1e-08,3,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.333560145715187,0.00017010928639038525,True,False,False
0.0001,1e-08,4,1|u|u^2|u_xx|u*u_x|u*u_xx|(u_x)^2,7,1.3335659730080065,0.00017447975600493049,True,False,False
0.0001,2e-08,0,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.3341079599985344,0.0005809699989008377,True,False,False
0.0001,2e-08,1,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.3341174648486451,0.0005880986364839025,True,False,False
